orbit_id,start_n,odd_step_index,is_terminal,n,A,B,C,D,a11,a13,a31,a33,n_mod_3,n_mod_4,n_mod_8,n_mod_16,n_mod_32,n_mod_64,actual_mode,actual_next,actual_direction,missing_down_count,missing_up_count,best_hidden_value,best_hidden_mode,reset_value,sheet_alternative,actual_sheet,alternate_sheet,reset_ratio_num,reset_ratio_den,delta_reset_log2,hidden_ratio_num,hidden_ratio_den,delta_hidden_log2,cum_reset_deficit_before,cum_reset_deficit_after,cum_hidden_deficit_before,cum_hidden_deficit_after,height_g,epsilon,eta,cum_height_g
NAMED_27,27,0,0,27,7,15,41,21,2,1,1,2,0,3,3,11,27,27,"(3,1)",41,UP,3,0,7,A,7,21,NON3,MULT3,41,7,2.5501970825604796,41,7,2.5501970825604796,0.0,2.5501970825604796,0.0,2.5501970825604796,0.6026645024546153,-0.5849625007211561,0.017702001733459045,0.6026645024546153
NAMED_27,27,1,0,41,21,11,31,63,1,2,2,1,2,1,1,9,9,41,"(3,1)",31,FOLD,2,1,11,B,21,63,NON3,MULT3,31,21,0.5618788876081142,31,11,1.4947646917495776,2.5501970825604796,3.112075970168594,2.5501970825604796,4.044961774310057,-0.40335569423120843,0.4150374992788439,0.011681805047635238,0.1993088082234069
NAMED_27,27,2,0,31,1,17,47,3,5,1,1,5,1,3,7,15,31,31,"(3,1)",47,UP,3,0,1,A,1,3,NON3,MULT3,47,1,5.554588851677638,47,1,5.554588851677638,3.112075970168594,8.666664821846231,4.044961774310057,9.599550625987694,0.6003925412907622,-0.5849625007211561,0.015430040569605969,0.7997013495141692
NAMED_27,27,3,0,47,3,25,71,9,4,1,1,4,2,3,7,15,15,47,"(3,1)",71,UP,3,0,3,A,3,9,NON3,MULT3,71,3,4.564784618783526,71,3,4.564784618783526,8.666664821846231,13.231449440629756,9.599550625987694,14.16433524477122,0.5951582678270448,-0.5849625007211561,0.010195767105888364,1.394859617341214
NAMED_27,27,4,0,71,9,37,107,27,3,1,1,3,2,3,7,7,7,7,"(3,1)",107,UP,3,0,9,A,9,27,NON3,MULT3,107,9,3.5715419849588352,107,9,3.5715419849588352,13.231449440629756,16.80299142558859,14.16433524477122,17.735877229730054,0.5917198668964649,-0.5849625007211561,0.006757366175308802,1.986579484237679
NAMED_27,27,5,0,107,27,55,161,81,2,1,1,2,2,3,3,11,11,43,"(3,1)",161,UP,3,0,27,A,27,81,NON3,MULT3,161,27,2.5760293759511486,161,27,2.5760293759511486,16.80299142558859,19.37902080153974,17.735877229730054,20.3119066056812,0.5894498917134701,-0.5849625007211561,0.004487390992313691,2.576029375951149
NAMED_27,27,6,0,161,81,41,121,243,1,2,2,1,2,1,1,1,1,33,"(3,1)",121,FOLD,2,1,41,B,81,243,NON3,MULT3,121,81,0.5790132343899703,121,41,1.5613112326565108,19.37902080153974,19.958034035929707,20.3119066056812,21.873217838337712,-0.4120536408400226,0.4150374992788439,0.00298385843882141,2.1639757351111264
NAMED_27,27,7,0,121,61,31,91,183,1,2,2,1,1,1,1,9,25,57,"(3,1)",91,FOLD,2,1,31,B,61,183,NON3,MULT3,91,61,0.5770573026358097,91,31,1.5535983298118214,19.958034035929707,20.535091338565515,21.873217838337712,23.426816168149536,-0.41106859707589805,0.4150374992788439,0.0039689022029454546,1.7529071380352284
NAMED_27,27,8,0,91,23,47,137,69,2,1,1,2,1,3,3,11,27,27,"(3,1)",137,UP,3,0,23,A,23,69,NON3,MULT3,137,23,2.5744701269035133,137,23,2.5744701269035133,20.535091338565515,23.109561465469028,23.426816168149536,26.00128629505305,0.5902374427618304,-0.5849625007211561,0.005274942040674248,2.343144580797059
NAMED_27,27,9,0,137,69,35,103,207,1,2,2,1,2,1,1,9,9,9,"(3,1)",103,FOLD,2,1,35,B,69,207,NON3,MULT3,103,69,0.5779760704050494,103,35,1.5572175102382522,23.109561465469028,23.68753753587408,26.00128629505305,27.558503805291302,-0.4115315557773085,0.4150374992788439,0.0035059435015356395,1.9316130250197505
NAMED_27,27,10,0,103,13,53,155,39,3,1,1,3,1,3,7,7,7,39,"(3,1)",155,UP,3,0,13,A,13,39,NON3,MULT3,155,13,3.5756846871331454,155,13,3.5756846871331454,23.68753753587408,27.263222223007222,27.558503805291302,31.134188492424446,0.5896238780910192,-0.5849625007211561,0.004661377369863099,2.5212369031107698
NAMED_27,27,11,0,155,39,79,233,117,2,1,1,2,2,3,3,11,27,27,"(3,1)",233,UP,3,0,39,A,39,117,NON3,MULT3,233,39,2.578783925792032,233,39,2.578783925792032,27.263222223007222,29.842006148799253,31.134188492424446,33.71297241821648,0.5880617393800427,-0.5849625007211561,0.00309923865888656,3.1092986424908124
NAMED_27,27,12,0,233,117,59,175,351,1,2,2,1,2,1,1,9,9,41,"(3,1)",175,FOLD,2,1,59,B,117,351,NON3,MULT3,175,117,0.5808463922489242,175,59,1.5685680624704874,29.842006148799253,30.42285254104818,33.71297241821648,35.28154048068697,-0.41297503282195147,0.4150374992788439,0.0020624664568923198,2.6963236096688608
NAMED_27,27,13,0,175,11,89,263,33,4,1,1,4,1,3,7,15,15,47,"(3,1)",263,UP,3,0,11,A,11,33,NON3,MULT3,263,11,4.579487370655005,263,11,4.579487370655005,30.42285254104818,35.00233991170318,35.28154048068697,39.86102785134197,0.5877078774599735,-0.5849625007211561,0.0027453767388172924,3.2840314871288343
NAMED_27,27,14,0,263,33,133,395,99,3,1,1,3,2,3,7,7,7,7,"(3,1)",395,UP,3,0,33,A,33,99,NON3,MULT3,395,33,3.5813147237060123,395,33,3.5813147237060123,35.00233991170318,38.5836546354092,39.86102785134197,43.44234257504799,0.586789853772163,-0.5849625007211561,0.001827353051006809,3.8708213409009975
NAMED_27,27,15,0,395,99,199,593,297,2,1,1,2,2,3,3,11,11,11,"(3,1)",593,UP,3,0,99,A,99,297,NON3,MULT3,593,99,2.582531674466394,593,99,2.582531674466394,38.5836546354092,41.16618630987559,43.44234257504799,46.02487424951438,0.5861794514815384,-0.5849625007211561,0.0012169507603823108,4.457000792382535
NAMED_27,27,16,0,593,297,149,445,891,1,2,2,1,2,1,1,1,17,17,"(3,1)",445,FOLD,2,1,149,B,297,891,NON3,MULT3,445,297,0.5833424050529938,445,149,1.578493005391599,41.16618630987559,41.74952871492859,46.02487424951438,47.60336725490598,-0.4142267686922434,0.4150374992788439,0.000810730586600256,4.042774023690292
NAMED_27,27,17,0,445,223,7,167,669,1,6,3,1,1,1,5,13,29,61,"(3,1)",167,FOLD,2,1,7,B,223,669,NON3,MULT3,167,223,-0.41719560744625284,167,7,4.576349370416448,41.74952871492859,41.332333107482334,47.60336725490598,52.17971662532243,-1.413957233379708,1.415037499278844,0.0010802658991358788,2.628816790310584
NAMED_27,27,18,0,167,21,85,251,63,3,1,1,3,2,3,7,7,7,39,"(3,1)",251,UP,3,0,21,A,21,63,NON3,MULT3,251,21,3.5792261311720113,251,21,3.5792261311720113,41.332333107482334,44.91155923865435,52.17971662532243,55.75894275649444,0.5878392614767198,-0.5849625007211561,0.002876760755563661,3.2166560517873037
