metric,rank,start_n,value,status,odd_steps_to_1,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
max_odd_value,1,704511,18997161173.0,REACHED_1,86,18997161173,13,32,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,2,997823,17494428437.0,REACHED_1,162,17494428437,9,16,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,3,886953,17494428437.0,REACHED_1,164,17494428437,9,18,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,4,665215,17494428437.0,REACHED_1,163,17494428437,9,17,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,5,974079,8216025965.0,REACHED_1,140,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,6,960963,8216025965.0,REACHED_1,152,8216025965,7,18,5,DEEP_FOLD
max_odd_value,7,912167,8216025965.0,REACHED_1,147,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,8,865847,8216025965.0,REACHED_1,142,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,9,854191,8216025965.0,REACHED_1,154,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,10,810815,8216025965.0,REACHED_1,149,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,11,769641,8216025965.0,REACHED_1,144,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,12,730559,8216025965.0,REACHED_1,139,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,13,720723,8216025965.0,REACHED_1,151,8216025965,7,18,5,DEEP_FOLD
max_odd_value,14,649385,8216025965.0,REACHED_1,141,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,15,640641,8216025965.0,REACHED_1,153,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,16,608111,8216025965.0,REACHED_1,148,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,17,577231,8216025965.0,REACHED_1,143,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,18,540543,8216025965.0,REACHED_1,150,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,19,487039,8216025965.0,REACHED_1,140,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,20,480481,8216025965.0,REACHED_1,152,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,21,432923,8216025965.0,REACHED_1,142,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,22,405407,8216025965.0,REACHED_1,149,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,23,360361,8216025965.0,REACHED_1,151,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,24,288615,8216025965.0,REACHED_1,143,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,25,270271,8216025965.0,REACHED_1,150,8216025965,7,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,26,847871,8138196845.0,REACHED_1,118,8138196845,11,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,27,753663,8138196845.0,REACHED_1,120,8138196845,14,16,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,28,669921,8138196845.0,REACHED_1,122,8138196845,13,22,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,29,565247,8138196845.0,REACHED_1,119,8138196845,12,19,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,30,502441,8138196845.0,REACHED_1,121,8138196845,13,21,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,31,376831,8138196845.0,REACHED_1,120,8138196845,13,20,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,32,924907,7998895637.0,REACHED_1,123,7998895637,11,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,33,822139,7998895637.0,REACHED_1,125,7998895637,11,35,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,34,780391,7998895637.0,REACHED_1,120,7998895637,11,30,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,35,917161,6692535845.0,REACHED_1,140,6692535845,7,51,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,36,687871,6692535845.0,REACHED_1,139,6692535845,7,50,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,37,956925,5734125917.0,REACHED_1,63,5734125917,12,29,3,DEEP_FOLD
max_odd_value,38,850597,5734125917.0,REACHED_1,65,5734125917,12,31,3,DEEP_FOLD
max_odd_value,39,807407,5734125917.0,REACHED_1,60,5734125917,12,27,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,40,756087,5734125917.0,REACHED_1,67,5734125917,12,30,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,41,717695,5734125917.0,REACHED_1,62,5734125917,12,22,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,42,637949,5734125917.0,REACHED_1,64,5734125917,12,30,3,DEEP_FOLD
max_odd_value,43,567065,5734125917.0,REACHED_1,66,5734125917,12,30,3,DEEP_FOLD
max_odd_value,44,538271,5734125917.0,REACHED_1,61,5734125917,12,28,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,45,504057,5734125917.0,REACHED_1,68,5734125917,12,30,4,DEEP_FOLD
max_odd_value,46,478463,5734125917.0,REACHED_1,63,5734125917,12,22,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,47,425299,5734125917.0,REACHED_1,65,5734125917,12,30,3,DEEP_FOLD
max_odd_value,48,378043,5734125917.0,REACHED_1,67,5734125917,12,30,3,DEEP_FOLD
max_odd_value,49,358847,5734125917.0,REACHED_1,62,5734125917,12,29,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,50,318975,5734125917.0,REACHED_1,64,5734125917,12,22,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,51,239231,5734125917.0,REACHED_1,63,5734125917,12,30,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,52,212649,5734125917.0,REACHED_1,65,5734125917,12,32,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,53,159487,5734125917.0,REACHED_1,64,5734125917,12,31,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,54,829087,4476320981.0,REACHED_1,67,4476320981,7,29,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,55,984623,4200355277.0,REACHED_1,104,4200355277,6,19,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,56,656415,4200355277.0,REACHED_1,105,4200355277,6,20,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,57,859135,3432088421.0,REACHED_1,113,3432088421,9,29,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,58,763675,3432088421.0,REACHED_1,115,3432088421,9,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,59,945791,2833697357.0,REACHED_1,84,2833697357,8,30,8,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,60,840703,2833697357.0,REACHED_1,86,2833697357,9,22,8,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,61,747291,2833697357.0,REACHED_1,88,2833697357,9,22,8,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,62,630527,2833697357.0,REACHED_1,85,2833697357,8,31,8,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,63,420351,2833697357.0,REACHED_1,86,2833697357,8,32,8,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,64,906175,2789594477.0,REACHED_1,164,2789594477,8,22,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,65,975015,2532526037.0,REACHED_1,116,2532526037,10,20,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,66,939497,2407427729.0,REACHED_1,188,2407427729,13,15,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,67,704623,2407427729.0,REACHED_1,187,2407427729,13,15,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,68,626331,2407427729.0,REACHED_1,189,2407427729,13,16,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,69,981929,2324522933.0,REACHED_1,68,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,70,919519,2324522933.0,REACHED_1,75,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,71,872825,2324522933.0,REACHED_1,70,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,72,736447,2324522933.0,REACHED_1,67,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,73,689639,2324522933.0,REACHED_1,74,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,74,654619,2324522933.0,REACHED_1,69,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,75,581883,2324522933.0,REACHED_1,71,2324522933,18,18,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,76,459759,2324522933.0,REACHED_1,75,2324522933,18,18,4,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,77,833775,1899126557.0,REACHED_1,130,1899126557,7,17,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,78,937599,1872768833.0,REACHED_1,123,1872768833,7,22,5,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,79,983039,1838733965.0,REACHED_1,104,1838733965,15,22,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,80,920559,1838733965.0,REACHED_1,111,1838733965,16,16,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,81,655359,1838733965.0,REACHED_1,105,1838733965,16,23,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,82,944639,1570585301.0,REACHED_1,53,1570585301,11,20,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,83,839679,1570585301.0,REACHED_1,55,1570585301,11,14,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,84,629759,1570585301.0,REACHED_1,54,1570585301,11,21,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,85,559785,1570585301.0,REACHED_1,56,1570585301,11,23,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,86,419839,1570585301.0,REACHED_1,55,1570585301,11,22,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,87,901119,1498227677.0,REACHED_1,89,1498227677,13,20,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,88,927003,1426855661.0,REACHED_1,176,1426855661,7,31,7,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,89,945435,1276124705.0,REACHED_1,94,1276124705,7,19,6,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,90,850079,1273466933.0,REACHED_1,65,1273466933,13,18,3,CRITICAL_FORBIDDEN_GRAMMAR
max_odd_value,91,755625,1273466933.0,REACHED_1,67,1273466933,13,20,3,CRITICAL_FORBIDDEN_GRAMMAR
