modulus,bits,odd_residue,a11,a13,a31,a33,coarse_signature,output_ordering,actual_C_direction,best_hidden_mode,missing_down_count,missing_up_count,D_sheet_switching_ability
8,3,1,1,2,2,1,"(1,2,2,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
8,3,3,2,1,1,2,"(2,1,1,2)",VARIABLE_WITHIN_CYLINDER,UP,VARIABLE_WITHIN_CYLINDER,3,0,YES_TO_MULT3
8,3,5,1,>=3,>=3,1,"(1,>=3,>=3,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
8,3,7,>=3,1,1,>=3,"(>=3,1,1,>=3)",VARIABLE_WITHIN_CYLINDER,UP,VARIABLE_WITHIN_CYLINDER,3,0,YES_TO_MULT3
16,4,1,1,2,2,1,"(1,2,2,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
16,4,3,2,1,1,2,"(2,1,1,2)",VARIABLE_WITHIN_CYLINDER,UP,VARIABLE_WITHIN_CYLINDER,3,0,YES_TO_MULT3
16,4,5,1,3,>=4,1,"(1,3,>=4,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
16,4,7,3,1,1,3,"(3,1,1,3)",A<D<B<C,UP,A,3,0,YES_TO_MULT3
16,4,9,1,2,2,1,"(1,2,2,1)",B<A<C<D,FOLD,B,2,1,YES_TO_MULT3
16,4,11,2,1,1,2,"(2,1,1,2)",A<B<D<C,UP,A,3,0,YES_TO_MULT3
16,4,13,1,>=4,3,1,"(1,>=4,3,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
16,4,15,>=4,1,1,>=4,"(>=4,1,1,>=4)",VARIABLE_WITHIN_CYLINDER,UP,VARIABLE_WITHIN_CYLINDER,3,0,YES_TO_MULT3
32,5,1,1,2,2,1,"(1,2,2,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
32,5,3,2,1,1,2,"(2,1,1,2)",VARIABLE_WITHIN_CYLINDER,UP,VARIABLE_WITHIN_CYLINDER,3,0,YES_TO_MULT3
32,5,5,1,3,4,1,"(1,3,4,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
32,5,7,3,1,1,3,"(3,1,1,3)",A<D<B<C,UP,A,3,0,YES_TO_MULT3
32,5,9,1,2,2,1,"(1,2,2,1)",B<A<C<D,FOLD,B,2,1,YES_TO_MULT3
32,5,11,2,1,1,2,"(2,1,1,2)",A<B<D<C,UP,A,3,0,YES_TO_MULT3
32,5,13,1,4,3,1,"(1,4,3,1)",B<C<A<D,FOLD,B,2,1,YES_TO_MULT3
32,5,15,4,1,1,4,"(4,1,1,4)",A<D<B<C,UP,A,3,0,YES_TO_MULT3
32,5,17,1,2,2,1,"(1,2,2,1)",B<A<C<D,FOLD,B,2,1,YES_TO_MULT3
32,5,19,2,1,1,2,"(2,1,1,2)",A<B<D<C,UP,A,3,0,YES_TO_MULT3
32,5,21,1,3,>=5,1,"(1,3,>=5,1)",VARIABLE_WITHIN_CYLINDER,FOLD,VARIABLE_WITHIN_CYLINDER,2,1,YES_TO_MULT3
32,5,23,3,1,1,3,"(3,1,1,3)",A<D<B<C,UP,A,3,0,YES_TO_MULT3
